id,date,source,title,description,url,verdict,reason
11,2026-08-20,thehindubusinessline.com,US Fed Minutes signal rate hike debate as inflation risks persist; 3 officials favoured 25-bps increase,"At its July 28-29 meeting, the FOMC decided to keep the federal funds target range unchanged at 3.5-3.75 per cent, in a 9-3 vote",https://www.thehindubusinessline.com/news/world/us-fed-minutes-signal-rate-hike-debate-as-inflation-risks-persist-3-officials-favoured-25-bps-increase/article71368240.ece,2,FOMC 회의록 보도 — 핵심
12,2026-08-20,fortune.com,"Treasury rushes into bond market as Fed minutes show many governors want to hike rates, not cut","As the Fed’s minutes point toward possible rate hikes, Treasury expanded long-bond buybacks after 10-year yields topped 4.7%.",https://fortune.com/2026/08/20/warsh-fed-treasury-bond-buybacks-yields/,2,FOMC 회의록 + 정책 방향
13,2026-08-19,americanbanker.com,"To fire Cook from the Fed, Trump looks to channel Taft","President Donald Trump has initiated a for-cause process to remove the Federal Reserve Board governor from office, something only one president has successfully done before. But that century-old prece",https://www.americanbanker.com/news/to-fire-cook-from-the-fed-trump-looks-to-channel-taft,2,연준 이사 해임 시도 — 연준 인사·독립성
14,2026-08-24,businessinsider.com,Top Economist Shares One Way Kevin Warsh Could Spark a Market Rally,Jemery Siegel says the market is overly concerned about higher bond yields as it eyes the Treasury's latest intervention.,https://www.businessinsider.com/bond-yields-jackson-hole-kevin-warsh-interest-rates-jeremy-siegel-2026-8,2,연준 의장 정책 행보 전망
15,2026-08-21,thehindubusinessline.com,"Gold heads for third weekly gain on softer dollar, lower US yields","Gold prices rise for a third week on a weaker dollar and lower US yields, up 3.6% this week.",https://www.thehindubusinessline.com/markets/gold/gold-heads-for-third-weekly-gain-on-softer-dollar-lower-us-yields/article71372098.ece,0,금 시황
16,2026-08-19,cnbc.com,"Fed officials saw need for rate hike if inflation doesn't cool, minutes show",The Federal Reserve on Wednesday released minutes from its July 28-29 policy meeting.,https://www.cnbc.com/2026/08/19/fed-minutes-july-2026-officials-saw-need-for-rate-hike-if-inflation-doesnt-cool.html,2,FOMC 회의록 보도 — 핵심
17,2026-08-19,yahoo.com,"Gold inches higher, focus on Fed minutes",Aug 19 (Reuters) - Gold prices edged higher in early Asian trade on Wednesday as U.S.,https://finance.yahoo.com/news/gold-inches-higher-focus-fed-005910171.html,1,"금 시황, 회의록 대기"
18,2026-08-19,cnbc.com,Dollar risks are mounting. Here’s what could weaken the greenback,"Currency strategists flag Treasury risk, softer U.S. data and uncertain Fed policy as key factors that could pressure the dollar.",https://www.cnbc.com/2026/08/19/inflation-dollar-risks-fed.html,1,"환율, 연준 정책은 요인 중 하나"
19,2026-08-18,financefeeds.com,Weekly data: Oil and Gold: Price review for the week ahead,"This preview of weekly data examines USOIL and XAUUSD, with economic data expected later this week as the primary market drivers of the near-term outlook.",https://financefeeds.com/weekly-data-oil-and-gold-price-review-for-the-week-ahead-75/,0,원자재 주간 프리뷰
20,2026-08-24,yahoo.com,Gold climbs to more than three-month high as markets await US inflation data,"By Sukanya Mitra Aug 24 (Reuters) - Gold rose to its highest in more than three months on Monday, building on gains from last week as a muted dollar boosted appeal, while investors awaited U.S.",https://finance.yahoo.com/news/gold-hits-over-3-month-065846742.html,0,금 시황
21,2026-08-21,manilatimes.net,BSP may hike despite Fed uncertainty – ANZ,"THE Bangko Sentral ng Pilipinas (BSP) is expected to chart its own policy course, with ANZ seeing a rate hike next week, despite uncertainty over the US Federal Reserve’s next moves and potential mark",https://www.manilatimes.net/2026/08/22/business/top-business/bsp-may-hike-despite-fed-uncertainty-anz/2410142,1,필리핀 중앙은행 정책(연준은 배경)
22,2026-08-25,thehindubusinessline.com,Gold touches highest level since mid-May as buying momentum builds,Gold reaches its highest level since May amid rising buying momentum and anticipation of key U.S. economic data.,https://www.thehindubusinessline.com/markets/gold/gold-touches-highest-level-since-mid-may-as-buying-momentum-builds/article71387137.ece,0,금 시황
23,2026-08-19,finance.yahoo.com,US stocks halt their slide after the Treasury Department moves to ease pressure from the bond market,U.S. stocks rose Wednesday after the U.S. Treasury Department announced a move that could ease pressure coming from the bond market.  Financial markets have come under growing strain as Treasury yield,https://finance.yahoo.com/markets/articles/shares-fall-asia-kospi-down-030536178.html,0,재무부 조치·증시
24,2026-08-24,businessinsider.com,The 2 events that will define markets this week,Can Nvidia earnings or Jackson Hole save the day with stocks in a rut? We take a look at each.,https://www.businessinsider.com/stock-market-outlook-nvidia-q2-earnings-jackson-hole-fed-rates-2026-8,1,주간 이벤트 프리뷰(엔비디아+잭슨홀)
25,2026-08-19,zerohedge.com,FOMC Minutes Tilt Hawkish: 'Inflation Risks Skewed To The Upside' Due To AI,"ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",https://www.zerohedge.com/markets/fomc-40,2,FOMC 회의록 매파 해석 — 핵심
26,2026-08-18,klementoninvesting.substack.com,"When it comes to inflation, ‘in’ is better than ‘out’",One of the advantages that countries outside the Eurozone have is that they can control their monetary policy.,https://klementoninvesting.substack.com/p/when-it-comes-to-inflation-in-is,1,통화정책 일반(유로존 밖 국가)
27,2026-08-21,manilatimes.net,IMF official: AI productivity gains may not curb inflation,"At first glance, higher economic productivity — producing more output for the same amount of inputs — looks as if it should lead to lower prices.",https://www.manilatimes.net/2026/08/22/business/top-business/imf-official-ai-productivity-gains-may-not-curb-inflation/2410148,1,IMF·물가 전망(연준 정책 아님)
28,2026-08-21,economictimes.indiatimes.com,Bessent’s bond market push struggles to bring down US borrowing costs,"US Treasury Secretary Scott Bessents bond-buyback push has offered only limited relief, with long-term Treasury yields rising again. Investors remain focused on the wider pressures driving borrowing c",https://economictimes.indiatimes.com/markets/us-stocks/bessents-bond-market-push-struggles-to-bring-down-us-borrowing-costs/articleshow/133393939.cms,0,재무부 국채 바이백
29,2026-08-18,finance.yahoo.com,Wells Fargo resets its inflation target for 2026 and 2027,"Wall Street has spent this year waiting for prices to calm down. The thinking was simple. The war with Iran pushed oil up in February; the shock would wear off, and the Fed would go back to cutting ra",https://finance.yahoo.com/economy/policy/articles/wells-fargo-resets-inflation-target-090300650.html,1,민간은행 물가 전망
30,2026-08-21,finance.yahoo.com,"Bond yields head higher again, giving back almost all gains since Treasury Department intervention","Stocks shrugged it off, but bond yields moved higher for a second straight day on Friday, the latest sign that the US Treasury's intervention efforts have been a bust.",https://finance.yahoo.com/markets/article/bond-yields-head-higher-again-giving-back-almost-all-gains-since-treasury-department-intervention-165921301.html,0,국채 금리·재무부 개입
31,2026-08-24,finance.yahoo.com,"Shares, oil dip as US sanctions on Iran loom","By Iain Withers and Wayne Cole LONDON/SYDNEY, Aug 24 (Reuters) - Global stocks slipped on Monday and oil prices eased as investors awaited details of threatened U.S. sanctions on Iran, while the",https://finance.yahoo.com/news/shares-flat-asia-iran-sanctions-004936320.html,0,지정학·유가
32,2026-08-18,cnbc.com,Analysis: Bond market pressure is squeezing Main Street as Wall Street waits on Warsh,"A sell-off in long-term Treasurys is raising borrowing costs, exposing how debt, AI spending and energy are turning the bond market into a political problem.",https://www.cnbc.com/2026/08/18/bond-market-treasury-yields-warsh-main-street.html,1,국채시장 압력(의장 발언 대기)
33,2026-08-20,finance.yahoo.com,Dollar at three-month low as Treasury moves to soothe bond jitters,"By Samuel Indyk and Ankur Banerjee LONDON, Aug 20 (Reuters) - The U.S. dollar was pinned near a three-month low on Thursday after the Treasury Department moved to calm a bond market selloff that had",https://finance.yahoo.com/news/dollar-hugs-three-month-lows-005324076.html,0,환율·재무부
