id,label_code,label,source
2017-09-20_statement#8#finbert-finetuned,1,positive,agree
2005-08-09_statement#3#finbert-finetuned,2,negative,agree
2021-04-28_statement#3#finbert-finetuned,0,neutral,resolved
2020-06-10_statement#12#finbert-finetuned,0,neutral,agree
2017-06-14_statement#11#finbert-finetuned,0,neutral,agree
2007-09-18_statement#0#finbert-finetuned,0,neutral,agree
2014-12-17_statement#10#finbert-finetuned,0,neutral,agree
2005-08-09_statement#6#finbert-finetuned,0,neutral,agree
2010-09-21_statement#5#finbert-finetuned,0,neutral,resolved
2017-11-01_statement#13#finbert-finetuned,0,neutral,agree
2008-01-21_statement#5#finbert-finetuned,2,negative,agree
2021-06-16_statement#3#finbert-finetuned,0,neutral,resolved
2007-08-16_statement#1#finbert-finetuned,2,negative,agree
2008-01-30_statement#7#finbert-finetuned,0,neutral,agree
2008-01-21_statement#1#finbert-finetuned,2,negative,agree
2020-07-29_statement#1#finbert-finetuned,2,negative,agree
2003-10-28_statement#3#finbert-finetuned,0,neutral,agree
2016-06-15_statement#3#finbert-finetuned,1,positive,resolved
2011-08-09_statement#0#finbert-finetuned,2,negative,agree
2010-06-23_statement#9#finbert-finetuned,0,neutral,agree
2003-08-12_statement#3#finbert-finetuned,0,neutral,agree
2019-05-01_statement#1#finbert-finetuned,1,positive,agree
2009-01-28_statement#11#finbert-finetuned,0,neutral,agree
2007-10-31_statement#4#finbert-finetuned,2,negative,agree
2009-06-24_statement#6#finbert-finetuned,2,negative,agree
2020-11-05_statement#6#finbert-finetuned,2,negative,agree
