id,label_code,label,source
2013-12-18_presconf#237,1,positive,agree
2017-03-15_presconf#62,0,neutral,agree
2025-05-07_presconf#7,0,neutral,agree
2017-09-20_presconf#83,2,negative,agree
2015-09-17_presconf#89,1,positive,agree
2021-07-28_presconf#410,0,neutral,resolved
2018-12-19_presconf#248,0,neutral,agree
2020-01-29_presconf#203,0,neutral,resolved
2022-11-02_presconf#7,1,positive,agree
2026-06-17_presconf#245,0,neutral,resolved
2013-09-18_presconf#236,0,neutral,agree
2015-09-17_presconf#149,0,neutral,resolved
2011-04-27_presconf#118,0,neutral,resolved
2021-06-16_presconf#13,1,positive,resolved
2022-03-16_presconf#101,0,neutral,resolved
2014-12-17_presconf#221,0,neutral,resolved
2014-06-18_presconf#75,2,negative,agree
2014-06-18_presconf#178,0,neutral,agree
2015-12-16_presconf#263,0,neutral,resolved
2013-06-19_presconf#149,0,neutral,resolved
2026-06-17_presconf#3,1,positive,agree
2011-04-27_presconf#142,1,positive,agree
2012-04-25_presconf#125,0,neutral,agree
2023-11-01_presconf#191,0,neutral,resolved
2020-07-29_presconf#340,0,neutral,resolved
2021-11-03_presconf#65,0,neutral,agree
2025-12-10_presconf#304,0,neutral,resolved
2013-06-19_presconf#18,0,neutral,resolved
2013-09-18_presconf#77,1,positive,agree
2014-09-17_presconf#137,0,neutral,agree
2015-06-17_presconf#85,0,neutral,agree
2013-09-18_presconf#120,0,neutral,agree
2026-03-18_presconf#195,0,neutral,agree
2019-09-18_presconf#43,1,positive,agree
2014-06-18_presconf#116,1,positive,agree
2026-06-17_presconf#234,0,neutral,agree
2020-07-29_presconf#159,0,neutral,agree
2017-12-13_presconf#78,0,neutral,resolved
2023-07-26_presconf#82,0,neutral,agree
2011-06-22_presconf#97,0,neutral,agree
2013-06-19_presconf#199,0,neutral,resolved
2019-06-19_presconf#32,2,negative,agree
2022-07-27_presconf#346,0,neutral,resolved
2014-03-19_presconf#195,2,negative,agree
2023-09-20_presconf#361,0,neutral,agree
2023-03-22_presconf#167,1,positive,agree
2026-06-17_presconf#164,0,neutral,agree
2013-12-18_presconf#65,0,neutral,agree
2023-11-01_presconf#124,0,neutral,agree
2012-01-25_presconf#143,0,neutral,agree
2020-12-16_presconf#220,0,neutral,agree
2022-01-26_presconf#215,2,negative,agree
2016-06-15_presconf#33,2,negative,resolved
2023-07-26_presconf#104,0,neutral,agree
2022-07-27_presconf#375,0,neutral,agree
2025-12-10_presconf#62,0,neutral,agree
2016-06-15_presconf#191,0,neutral,resolved
2019-03-20_presconf#237,0,neutral,resolved
2025-07-30_presconf#145,0,neutral,agree
2026-06-17_presconf#19,0,neutral,agree
2015-12-16_presconf#197,1,positive,agree
2021-07-28_presconf#266,0,neutral,agree
2020-03-15_presconf#96,0,neutral,resolved
2014-09-17_presconf#39,0,neutral,agree
2026-06-17_presconf#84,0,neutral,agree
2015-12-16_presconf#181,1,positive,agree
2022-01-26_presconf#32,2,negative,resolved
2017-03-15_presconf#195,1,positive,agree
2015-12-16_presconf#165,0,neutral,agree
2024-07-31_presconf#64,0,neutral,agree
2026-06-17_presconf#118,0,neutral,agree
2021-06-16_presconf#70,0,neutral,resolved
2026-06-17_presconf#77,0,neutral,resolved
2013-03-20_presconf#264,0,neutral,resolved
2021-11-03_presconf#138,0,neutral,agree
2019-03-20_presconf#188,0,neutral,agree
2013-03-20_presconf#75,1,positive,resolved
2026-06-17_presconf#170,0,neutral,agree
2012-12-12_presconf#58,0,neutral,agree
2019-12-11_presconf#165,0,neutral,agree
2011-06-22_presconf#70,2,negative,agree
2013-03-20_presconf#265,0,neutral,agree
2012-01-25_presconf#258,0,neutral,agree
2013-12-18_presconf#219,0,neutral,agree
2023-05-03_presconf#268,0,neutral,agree
2019-07-31_presconf#142,0,neutral,agree
2026-06-17_presconf#182,0,neutral,agree
2017-03-15_presconf#247,0,neutral,agree
2025-10-29_presconf#278,0,neutral,agree
2017-12-13_presconf#98,0,neutral,resolved
2026-06-17_presconf#145,0,neutral,agree
2024-03-20_presconf#164,0,neutral,agree
2015-09-17_presconf#215,0,neutral,agree
2016-03-16_presconf#77,0,neutral,agree
2016-12-14_presconf#42,0,neutral,agree
2011-06-22_presconf#174,0,neutral,agree
2014-03-19_presconf#30,0,neutral,agree
2016-03-16_presconf#83,0,neutral,agree
2011-11-02_presconf#41,1,positive,agree
2026-06-17_presconf#239,0,neutral,agree
2017-09-20_presconf#55,0,neutral,agree
2025-03-19_presconf#4,0,neutral,agree
2022-05-04_presconf#148,2,negative,resolved
2011-04-27_presconf#132,1,positive,agree
